time_captured,TRV_Close
2015-06-05,99.31
2015-06-08,97.76
2015-06-09,97.8
2015-06-10,99.18
2015-06-11,100.13
2015-06-12,99.47
2015-06-15,98.79
2015-06-16,99.49
2015-06-17,99.78
2015-06-18,101.47
2015-06-19,99.45
2015-06-22,100.04
2015-06-23,100.0
2015-06-24,98.78
2015-06-25,97.81
2015-06-26,97.92
2015-06-29,96.14
2015-06-30,96.66
2015-07-01,99.3
2015-07-02,99.23
2015-07-06,98.94
2015-07-07,100.03
2015-07-08,98.76
2015-07-09,100.07
2015-07-10,101.0
2015-07-13,102.33
2015-07-14,102.38
2015-07-15,102.42
2015-07-16,103.29
2015-07-17,102.94
2015-07-20,102.61
2015-07-21,104.48
2015-07-22,105.3
2015-07-23,105.3
2015-07-24,105.27
2015-07-27,105.59
2015-07-28,105.94
2015-07-29,106.43
2015-07-30,106.5
2015-07-31,106.12
2015-08-03,106.94
2015-08-04,106.63
2015-08-05,106.08
2015-08-06,105.46
2015-08-07,105.48
2015-08-10,105.82
2015-08-11,105.89
2015-08-12,105.43
2015-08-13,106.95
2015-08-14,107.71
2015-08-17,107.71
2015-08-18,107.82
2015-08-19,107.22
2015-08-20,105.7
2015-08-21,102.93
2015-08-24,98.78
2015-08-25,97.75
2015-08-26,100.0
2015-08-27,101.4
2015-08-28,100.43
2015-08-31,99.55
2015-09-01,97.49
2015-09-02,98.93
2015-09-03,99.37
2015-09-04,97.76
2015-09-08,99.65
2015-09-09,98.48
2015-09-10,99.09
2015-09-11,99.49
2015-09-14,99.28
2015-09-15,100.86
2015-09-16,101.91
2015-09-17,101.66
2015-09-18,99.66
2015-09-21,100.52
2015-09-22,98.98
2015-09-23,99.08
2015-09-24,98.86
2015-09-25,99.91
2015-09-28,99.08
2015-09-29,99.47
2015-09-30,99.53
2015-10-01,98.34
2015-10-02,100.03
2015-10-05,101.86
2015-10-06,101.07
2015-10-07,102.17
2015-10-08,103.09
2015-10-09,102.94
2015-10-12,103.72
2015-10-13,103.31
2015-10-14,102.77
2015-10-15,104.96
2015-10-16,105.9
2015-10-19,106.32
2015-10-20,108.95
2015-10-21,110.7
2015-10-22,112.32
2015-10-23,112.28
2015-10-26,112.77
2015-10-27,113.41
2015-10-28,114.26
2015-10-29,114.29
2015-10-30,112.89
2015-11-02,113.87
2015-11-03,113.69
2015-11-04,114.08
2015-11-05,113.97
2015-11-06,113.1
2015-11-09,112.83
2015-11-10,114.05
2015-11-11,114.38
2015-11-12,112.31
2015-11-13,112.0
2015-11-16,112.89
2015-11-17,112.74
2015-11-18,114.68
2015-11-19,115.02
2015-11-20,115.83
2015-11-23,115.63
2015-11-24,115.44
2015-11-25,114.8
2015-11-27,114.85
2015-11-30,114.57
2015-12-01,115.68
2015-12-02,114.71
2015-12-03,111.29
2015-12-04,114.06
