time_captured,JPM_Open
2008-12-12,28.44
2008-12-15,29.34
2008-12-16,29.01
2008-12-17,31.5
2008-12-18,32.16
2008-12-19,30.11
2008-12-22,30.64
2008-12-23,30.23
2008-12-24,28.65
2008-12-26,30.05
2008-12-29,29.99
2008-12-30,29.89
2008-12-31,30.7
2009-01-02,31.19
2009-01-05,30.73
2009-01-06,29.79
2009-01-07,29.15
2009-01-08,27.9
2009-01-09,27.55
2009-01-12,25.92
2009-01-13,25.21
2009-01-14,25.59
2009-01-15,26.54
2009-01-16,24.83
2009-01-20,21.0
2009-01-21,19.29
2009-01-22,22.36
2009-01-23,21.92
2009-01-26,25.0
2009-01-27,25.12
2009-01-28,27.19
2009-01-29,26.74
2009-01-30,25.81
2009-02-02,25.0
2009-02-03,25.03
2009-02-04,24.25
2009-02-05,23.74
2009-02-06,25.51
2009-02-09,26.65
2009-02-10,26.86
2009-02-11,25.25
2009-02-12,25.35
2009-02-13,25.25
2009-02-17,22.8
2009-02-18,22.18
2009-02-19,22.07
2009-02-20,19.71
2009-02-23,20.9
2009-02-24,20.13
2009-02-25,20.83
2009-02-26,23.32
2009-02-27,21.63
2009-03-02,21.7
2009-03-03,21.68
2009-03-04,21.74
2009-03-05,18.5
2009-03-06,17.19
2009-03-09,15.37
2009-03-10,17.35
2009-03-11,20.35
2009-03-12,20.15
2009-03-13,23.59
2009-03-16,24.31
2009-03-17,23.3
2009-03-18,24.82
2009-03-19,27.25
2009-03-20,24.66
2009-03-23,25.3
2009-03-24,28.05
2009-03-25,27.19
2009-03-26,29.05
2009-03-27,28.27
2009-03-30,25.67
2009-03-31,25.73
2009-04-01,25.29
2009-04-02,29.58
2009-04-03,27.98
2009-04-06,28.27
2009-04-07,27.28
2009-04-08,27.45
2009-04-09,30.44
2009-04-13,32.01
2009-04-14,33.04
2009-04-15,30.62
2009-04-16,34.01
2009-04-17,33.35
2009-04-20,31.78
2009-04-21,29.07
2009-04-22,31.64
2009-04-23,32.23
2009-04-24,33.66
2009-04-27,32.53
2009-04-28,32.35
2009-04-29,33.44
2009-04-30,35.01
2009-05-01,32.85
2009-05-04,33.06
2009-05-05,35.45
2009-05-06,35.82
2009-05-07,38.5
2009-05-08,36.8
2009-05-11,37.35
2009-05-12,36.24
2009-05-13,34.7
2009-05-14,34.12
2009-05-15,35.45
2009-05-18,35.71
