time_captured,MCD_Volume
2010-02-05,14010935
2010-02-08,6976828
2010-02-09,10131419
2010-02-10,6161389
2010-02-11,7478989
2010-02-12,6750002
2010-02-16,7090121
2010-02-17,5424589
2010-02-18,4976220
2010-02-19,5622582
2010-02-22,4274900
2010-02-23,7485645
2010-02-24,7579688
2010-02-25,8499955
2010-02-26,8288530
2010-03-01,6320241
2010-03-02,6271660
2010-03-03,6396071
2010-03-04,5958183
2010-03-05,8154960
2010-03-08,11826193
2010-03-09,7126830
2010-03-10,6900215
2010-03-11,4350525
2010-03-12,6601633
2010-03-15,5715101
2010-03-16,5705583
2010-03-17,4818776
2010-03-18,6208665
2010-03-19,10230084
2010-03-22,7386441
2010-03-23,8057691
2010-03-24,6363689
2010-03-25,5705548
2010-03-26,5984018
2010-03-29,6522554
2010-03-30,5093740
2010-03-31,5765742
2010-04-01,5475663
2010-04-05,4875549
2010-04-06,3318547
2010-04-07,6623698
2010-04-08,7140985
2010-04-09,5623117
2010-04-12,4025214
2010-04-13,5653909
2010-04-14,6194204
2010-04-15,4767127
2010-04-16,7876494
2010-04-19,7158221
2010-04-20,7347061
2010-04-21,10738134
2010-04-22,7139661
2010-04-23,5923672
2010-04-26,6035959
2010-04-27,8155348
2010-04-28,7589371
2010-04-29,7357314
2010-04-30,6966532
2010-05-03,5991714
2010-05-04,7240877
2010-05-05,9578086
2010-05-06,16491275
2010-05-07,15285567
2010-05-10,10903286
2010-05-11,6710060
2010-05-12,5655556
2010-05-13,5735400
2010-05-14,9112269
2010-05-17,7468112
2010-05-18,6899486
2010-05-19,7814365
2010-05-20,13573163
2010-05-21,12615218
2010-05-24,6744442
2010-05-25,9257929
2010-05-26,11525891
2010-05-27,9728101
2010-05-28,7164730
2010-06-01,5367669
2010-06-02,5750540
2010-06-03,4402406
2010-06-04,7557928
2010-06-07,9808876
2010-06-08,13568262
2010-06-09,8925976
2010-06-10,6743549
2010-06-11,5367611
2010-06-14,4525397
2010-06-15,6419994
2010-06-16,4548420
2010-06-17,7016118
2010-06-18,8817872
2010-06-21,5203430
2010-06-22,5488774
2010-06-23,5443143
2010-06-24,5943006
2010-06-25,8047682
2010-06-28,4428300
2010-06-29,8715915
2010-06-30,7204843
2010-07-01,10924381
2010-07-02,5280990
2010-07-06,5941005
2010-07-07,6623297
2010-07-08,7871733
2010-07-09,4512986
2010-07-12,5420731
2010-07-13,6072053
2010-07-14,4476027
2010-07-15,5470409
2010-07-16,5980918
2010-07-19,5072617
2010-07-20,5474283
2010-07-21,5734312
2010-07-22,6723224
2010-07-23,12237306
2010-07-26,5528878
2010-07-27,6215140
2010-07-28,6709740
2010-07-29,5132522
2010-07-30,5991331
2010-08-02,5873004
2010-08-03,4947223
2010-08-04,4570203
2010-08-05,5441783
2010-08-06,6775485
2010-08-09,8924810
2010-08-10,5690424
2010-08-11,5478735
2010-08-12,5643020
2010-08-13,5939548
2010-08-16,4936619
2010-08-17,7395493
2010-08-18,6032049
2010-08-19,6950471
2010-08-20,5566205
2010-08-23,5404340
2010-08-24,5846423
2010-08-25,6706540
2010-08-26,5218906
2010-08-27,6593250
2010-08-30,4195098
2010-08-31,5638141
2010-09-01,6749552
2010-09-02,5886671
2010-09-03,7331244
2010-09-07,7193707
2010-09-08,6816278
2010-09-09,14620908
2010-09-10,7483957
2010-09-13,7855750
2010-09-14,6543926
2010-09-15,4549325
2010-09-16,5078558
2010-09-17,7934397
2010-09-20,4212163
2010-09-21,5302689
2010-09-22,5142257
2010-09-23,5921829
2010-09-24,5848031
2010-09-27,5957562
2010-09-28,7050285
2010-09-29,4671238
2010-09-30,7239133
2010-10-01,7196116
2010-10-04,3904174
2010-10-05,5688255
2010-10-06,4734967
2010-10-07,4480996
2010-10-08,4119724
2010-10-11,3658513
2010-10-12,4705921
2010-10-13,4374243
2010-10-14,6624056
2010-10-15,6264505
2010-10-18,5375910
2010-10-19,5225997
2010-10-20,6420277
2010-10-21,7720214
2010-10-22,4224534
2010-10-25,4102987
2010-10-26,4033075
2010-10-27,8459164
2010-10-28,5348770
2010-10-29,4338964
2010-11-01,4960521
2010-11-02,3702348
2010-11-03,4062873
2010-11-04,5606904
2010-11-05,5248036
2010-11-08,4865687
2010-11-09,4535198
2010-11-10,4014020
2010-11-11,4439297
2010-11-12,4955315
2010-11-15,3744857
2010-11-16,6759903
2010-11-17,5281265
2010-11-18,11083279
2010-11-19,10865942
2010-11-22,10939452
2010-11-23,5465308
2010-11-24,4469854
2010-11-26,2576957
2010-11-29,4977913
2010-11-30,5559110
2010-12-01,5333181
2010-12-02,4994926
2010-12-03,3613865
2010-12-06,3114417
2010-12-07,7737178
2010-12-08,9359650
2010-12-09,10594726
2010-12-10,5321178
2010-12-13,6931132
2010-12-14,6043256
2010-12-15,6126404
2010-12-16,6484851
2010-12-17,9006558
2010-12-20,4759102
2010-12-21,4290391
2010-12-22,3518083
2010-12-23,2866171
2010-12-27,2613744
2010-12-28,2963548
2010-12-29,3585041
2010-12-30,2565507
2010-12-31,2485028
2011-01-03,8021406
2011-01-04,36480372
2011-01-05,17907936
2011-01-06,11717822
2011-01-07,11273141
2011-01-10,11343103
2011-01-11,8660900
