time_captured,CVX_Open
2009-07-28,68.21
2009-07-29,67.5
2009-07-30,67.93
2009-07-31,67.15
2009-08-03,70.26
2009-08-04,69.97
2009-08-05,70.42
2009-08-06,69.86
2009-08-07,69.68
2009-08-10,69.28
2009-08-11,68.83
2009-08-12,68.11
2009-08-13,69.06
2009-08-14,68.57
2009-08-17,66.65
2009-08-18,66.56
2009-08-19,66.25
2009-08-20,68.32
2009-08-21,69.46
2009-08-24,70.1
2009-08-25,71.13
2009-08-26,70.1
2009-08-27,70.71
2009-08-28,71.29
2009-08-31,69.99
2009-09-01,69.69
2009-09-02,68.4
2009-09-03,68.42
2009-09-04,68.17
2009-09-08,69.73
2009-09-09,70.68
2009-09-10,70.89
2009-09-11,71.79
2009-09-14,69.94
2009-09-15,71.33
2009-09-16,71.86
2009-09-17,72.18
2009-09-18,72.83
2009-09-21,71.59
2009-09-22,72.72
2009-09-23,72.5
2009-09-24,71.3
2009-09-25,70.58
2009-09-28,70.79
2009-09-29,71.5
2009-09-30,71.12
2009-10-01,70.4
2009-10-02,68.22
2009-10-05,68.27
2009-10-06,70.14
2009-10-07,70.31
2009-10-08,70.89
2009-10-09,71.94
2009-10-12,73.19
2009-10-13,73.73
2009-10-14,74.88
2009-10-15,75.19
2009-10-16,76.37
2009-10-19,76.94
2009-10-20,77.71
2009-10-21,76.6
2009-10-22,76.61
2009-10-23,77.14
2009-10-26,76.96
2009-10-27,75.82
2009-10-28,76.39
2009-10-29,76.16
2009-10-30,78.25
2009-11-02,76.86
2009-11-03,75.81
2009-11-04,77.1
2009-11-05,76.62
2009-11-06,76.57
2009-11-09,78.29
2009-11-10,77.41
2009-11-11,78.87
2009-11-12,78.32
2009-11-13,77.3
2009-11-16,78.11
2009-11-17,78.45
2009-11-18,78.82
2009-11-19,78.52
2009-11-20,76.85
2009-11-23,78.31
2009-11-24,78.73
2009-11-25,79.11
2009-11-27,77.63
2009-11-30,77.85
2009-12-01,79.1
2009-12-02,78.99
2009-12-03,78.6
2009-12-04,78.74
2009-12-07,77.92
2009-12-08,77.89
2009-12-09,76.91
