time_captured,BA_Open
2016-07-22,131.75
2016-07-25,133.18
2016-07-26,132.9
2016-07-27,136.14
2016-07-28,135.4
2016-07-29,133.05
2016-08-01,133.21
2016-08-02,132.95
2016-08-03,131.77
2016-08-04,132.0
2016-08-05,132.21
2016-08-08,132.14
2016-08-09,132.73
2016-08-10,132.1
2016-08-11,132.85
2016-08-12,132.9
2016-08-15,133.7
2016-08-16,134.15
2016-08-17,134.85
2016-08-18,134.72
2016-08-19,134.5
2016-08-22,134.3
2016-08-23,135.32
2016-08-24,134.01
2016-08-25,133.3
2016-08-26,133.5
2016-08-29,132.72
2016-08-30,133.19
2016-08-31,130.83
2016-09-01,130.03
2016-09-02,130.89
2016-09-06,131.63
2016-09-07,132.48
2016-09-08,132.32
2016-09-09,131.94
2016-09-12,126.88
2016-09-13,129.22
2016-09-14,128.91
2016-09-15,127.57
2016-09-16,127.71
2016-09-19,127.5
2016-09-20,127.95
2016-09-21,128.18
2016-09-22,131.45
2016-09-23,131.25
2016-09-26,131.07
2016-09-27,130.29
2016-09-28,131.59
2016-09-29,131.8
2016-09-30,132.09
2016-10-03,131.28
2016-10-04,132.77
2016-10-05,132.93
2016-10-06,134.83
2016-10-07,133.93
2016-10-10,134.59
2016-10-11,134.94
2016-10-12,133.76
2016-10-13,132.42
2016-10-14,134.56
2016-10-17,133.5
2016-10-18,135.03
2016-10-19,135.42
2016-10-20,135.92
2016-10-21,134.72
2016-10-24,136.41
2016-10-25,137.53
2016-10-26,138.43
2016-10-27,145.83
2016-10-28,143.72
2016-10-31,143.05
2016-11-01,142.95
2016-11-02,142.0
2016-11-03,140.76
2016-11-04,139.11
2016-11-07,141.5
2016-11-08,141.92
2016-11-09,141.6
2016-11-10,146.51
2016-11-11,147.12
2016-11-14,148.21
2016-11-15,148.44
2016-11-16,147.3
2016-11-17,146.83
2016-11-18,145.18
2016-11-21,147.21
2016-11-22,147.9
2016-11-23,149.61
2016-11-25,150.0
2016-11-28,149.0
2016-11-29,149.83
2016-11-30,151.59
2016-12-01,150.74
2016-12-02,152.45
2016-12-05,153.24
2016-12-06,150.84
2016-12-07,151.67
2016-12-08,154.6
2016-12-09,155.65
2016-12-12,156.0
2016-12-13,159.1
2016-12-14,156.23
2016-12-15,153.93
2016-12-16,153.88
2016-12-19,155.16
2016-12-20,156.96
2016-12-21,156.69
2016-12-22,158.5
2016-12-23,158.27
2016-12-27,158.41
2016-12-28,157.12
2016-12-29,156.0
2016-12-30,156.49
2017-01-03,156.3
2017-01-04,157.81
2017-01-05,158.41
2017-01-06,158.98
2017-01-09,159.0
2017-01-10,158.96
2017-01-11,159.54
2017-01-12,159.15
2017-01-13,158.74
2017-01-17,158.2
2017-01-18,157.55
2017-01-19,158.87
2017-01-20,159.81
2017-01-23,158.94
2017-01-24,158.58
2017-01-25,163.59
2017-01-26,167.25
2017-01-27,169.21
2017-01-30,165.92
2017-01-31,164.96
2017-02-01,164.25
2017-02-02,163.22
2017-02-03,162.99
2017-02-06,162.42
2017-02-07,165.0
2017-02-08,165.0
2017-02-09,164.67
2017-02-10,165.25
2017-02-13,166.45
2017-02-14,167.7
2017-02-15,168.42
2017-02-16,169.74
2017-02-17,170.41
2017-02-21,173.92
2017-02-22,174.98
2017-02-23,175.97
2017-02-24,176.75
2017-02-27,178.0
2017-02-28,180.34
2017-03-01,181.85
2017-03-02,184.0
2017-03-03,183.04
2017-03-06,181.4
2017-03-07,180.64
2017-03-08,182.4
2017-03-09,181.43
2017-03-10,181.9
2017-03-13,177.16
2017-03-14,178.54
2017-03-15,179.0
2017-03-16,179.82
2017-03-17,178.31
2017-03-20,180.1
2017-03-21,179.99
2017-03-22,175.96
2017-03-23,177.34
2017-03-24,176.85
2017-03-27,174.37
2017-03-28,176.29
2017-03-29,177.4
2017-03-30,177.25
2017-03-31,178.02
2017-04-03,177.08
2017-04-04,176.88
2017-04-05,179.0
2017-04-06,177.56
2017-04-07,178.39
2017-04-10,179.0
2017-04-11,177.5
2017-04-12,178.25
2017-04-13,175.74
2017-04-17,175.84
2017-04-18,178.59
2017-04-19,178.47
2017-04-20,178.74
2017-04-21,179.42
2017-04-24,181.75
2017-04-25,182.53
2017-04-26,182.31
2017-04-27,182.59
2017-04-28,183.42
2017-05-01,184.23
2017-05-02,182.54
2017-05-03,183.45
2017-05-04,183.33
2017-05-05,183.16
2017-05-08,185.38
2017-05-09,186.11
2017-05-10,185.14
2017-05-11,182.9
2017-05-12,183.71
2017-05-15,183.3
2017-05-16,182.73
2017-05-17,181.39
2017-05-18,178.48
2017-05-19,177.73
2017-05-22,183.78
2017-05-23,184.0
2017-05-24,183.46
2017-05-25,185.63
2017-05-26,186.73
2017-05-30,186.76
2017-05-31,187.37
2017-06-01,187.41
2017-06-02,187.82
2017-06-05,190.07
2017-06-06,188.41
2017-06-07,186.85
2017-06-08,188.1
2017-06-09,190.0
2017-06-12,190.3
2017-06-13,190.05
2017-06-14,191.05
2017-06-15,191.43
2017-06-16,196.01
2017-06-19,197.88
2017-06-20,198.75
2017-06-21,199.58
2017-06-22,199.25
2017-06-23,199.26
2017-06-26,202.77
2017-06-27,199.8
2017-06-28,199.5
2017-06-29,199.62
2017-06-30,198.5
2017-07-03,198.07
2017-07-05,199.3
2017-07-06,201.64
2017-07-07,202.24
2017-07-10,202.32
2017-07-11,204.0
2017-07-12,206.95
2017-07-13,206.8
2017-07-14,206.8
2017-07-17,208.73
2017-07-18,209.11
2017-07-19,209.43
2017-07-20,211.1
2017-07-21,209.99
2017-07-24,212.0
2017-07-25,213.22
2017-07-26,223.48
2017-07-27,237.13
2017-07-28,240.82
2017-07-31,
2017-08-01,243.38
2017-08-02,239.06
2017-08-03,237.06
2017-08-04,238.58
2017-08-07,237.6
2017-08-08,239.91
2017-08-09,238.01
2017-08-10,234.03
2017-08-11,232.76
2017-08-14,236.01
2017-08-15,237.21
2017-08-16,239.7
2017-08-17,237.38
2017-08-18,235.0
2017-08-21,235.77
2017-08-22,236.16
2017-08-23,239.36
2017-08-24,238.52
2017-08-25,239.0
2017-08-28,236.22
2017-08-29,237.21
2017-08-30,240.99
2017-08-31,241.0
2017-09-01,239.66
2017-09-05,240.3
2017-09-06,237.53
2017-09-07,234.75
2017-09-08,235.75
2017-09-11,239.5
2017-09-12,240.59
2017-09-13,240.0
2017-09-14,243.0
2017-09-15,247.36
2017-09-18,249.97
2017-09-19,253.08
2017-09-20,253.26
2017-09-21,256.13
2017-09-22,256.31
