time_captured,MSFT_Open
2013-06-21,33.66
2013-06-24,32.94
2013-06-25,34.08
2013-06-26,34.12
2013-06-27,34.52
2013-06-28,34.38
2013-07-01,34.75
2013-07-02,34.41
2013-07-03,33.66
2013-07-05,34.09
2013-07-08,34.35
2013-07-09,34.58
2013-07-10,34.34
2013-07-11,35.0
2013-07-12,35.58
2013-07-15,35.66
2013-07-16,36.01
2013-07-17,36.34
2013-07-18,35.72
2013-07-19,32.4
2013-07-22,31.7
2013-07-23,31.91
2013-07-24,32.04
2013-07-25,31.62
2013-07-26,31.26
2013-07-29,31.47
2013-07-30,31.78
2013-07-31,31.97
2013-08-01,32.06
2013-08-02,31.69
2013-08-05,31.9
2013-08-06,31.55
2013-08-07,31.54
2013-08-08,32.24
2013-08-09,32.77
2013-08-12,32.46
2013-08-13,32.51
2013-08-14,32.14
2013-08-15,32.0
2013-08-16,31.79
2013-08-19,31.76
2013-08-20,31.44
2013-08-21,31.61
2013-08-22,32.18
2013-08-23,35.17
2013-08-26,34.4
2013-08-27,33.52
2013-08-28,33.39
2013-08-29,32.93
2013-08-30,33.37
2013-09-03,31.75
2013-09-04,31.39
2013-09-05,31.1
2013-09-06,31.31
2013-09-09,31.22
2013-09-10,31.9
2013-09-11,32.57
2013-09-12,32.72
2013-09-13,32.77
2013-09-16,33.38
2013-09-17,33.42
2013-09-18,32.99
2013-09-19,33.48
2013-09-20,33.41
2013-09-23,32.54
2013-09-24,32.87
2013-09-25,32.49
2013-09-26,32.64
2013-09-27,32.88
2013-09-30,33.0
2013-10-01,33.35
2013-10-02,33.36
2013-10-03,33.88
2013-10-04,33.69
2013-10-07,33.6
2013-10-08,33.31
2013-10-09,33.07
2013-10-10,33.31
2013-10-11,33.68
2013-10-14,33.9
2013-10-15,34.67
2013-10-16,34.6
2013-10-17,34.45
2013-10-18,34.82
2013-10-21,34.98
2013-10-22,35.02
2013-10-23,34.35
2013-10-24,33.82
2013-10-25,35.88
2013-10-28,35.61
2013-10-29,35.63
2013-10-30,35.53
2013-10-31,35.66
2013-11-01,35.67
2013-11-04,35.59
2013-11-05,35.79
2013-11-06,37.24
2013-11-07,37.96
2013-11-08,37.67
2013-11-11,37.69
2013-11-12,37.38
2013-11-13,36.98
2013-11-14,37.87
2013-11-15,37.95
2013-11-18,37.35
2013-11-19,36.85
2013-11-20,36.92
2013-11-21,37.27
2013-11-22,37.52
2013-11-25,37.93
2013-11-26,37.57
2013-11-27,37.57
2013-11-29,37.82
2013-12-02,38.09
2013-12-03,38.14
2013-12-04,38.21
2013-12-05,38.85
2013-12-06,38.42
2013-12-09,38.56
2013-12-10,38.58
2013-12-11,37.71
2013-12-12,37.6
2013-12-13,37.43
2013-12-16,36.73
2013-12-17,36.65
2013-12-18,36.36
2013-12-19,36.52
2013-12-20,36.25
2013-12-23,36.81
2013-12-24,36.72
2013-12-26,37.2
2013-12-27,37.58
2013-12-30,37.22
2013-12-31,37.4
