time_captured,GS_Open
2010-04-12,179.36
2010-04-13,177.56
2010-04-14,183.91
2010-04-15,185.54
2010-04-16,183.62
2010-04-19,155.6
2010-04-20,166.44
2010-04-21,161.67
2010-04-22,157.93
2010-04-23,160.19
2010-04-26,156.72
2010-04-27,150.25
2010-04-28,156.66
2010-04-29,159.55
2010-04-30,151.9
2010-05-03,147.84
2010-05-04,149.03
2010-05-05,148.1
2010-05-06,147.48
2010-05-07,145.38
2010-05-10,149.09
2010-05-11,142.4
2010-05-12,144.24
2010-05-13,148.36
2010-05-14,143.41
2010-05-17,143.47
2010-05-18,143.69
2010-05-19,137.95
2010-05-20,138.2
2010-05-21,137.08
2010-05-24,142.0
2010-05-25,134.73
2010-05-26,144.28
2010-05-27,142.93
2010-05-28,144.42
2010-06-01,144.26
2010-06-02,142.0
2010-06-03,144.91
2010-06-04,142.17
2010-06-07,142.28
2010-06-08,139.14
2010-06-09,138.59
2010-06-10,137.6
2010-06-11,133.33
2010-06-14,137.11
2010-06-15,134.63
2010-06-16,136.06
2010-06-17,136.95
2010-06-18,137.82
2010-06-21,139.64
2010-06-22,137.54
2010-06-23,133.9
2010-06-24,134.14
2010-06-25,136.99
2010-06-28,140.38
2010-06-29,134.98
2010-06-30,133.68
2010-07-01,131.69
2010-07-02,132.11
2010-07-06,133.74
2010-07-07,132.44
2010-07-08,136.92
2010-07-09,135.36
2010-07-12,137.61
2010-07-13,138.5
2010-07-14,139.29
2010-07-15,140.02
2010-07-16,151.47
2010-07-19,147.67
2010-07-20,142.18
2010-07-21,150.05
2010-07-22,148.88
2010-07-23,146.65
2010-07-26,147.39
2010-07-27,149.09
2010-07-28,147.0
2010-07-29,148.27
2010-07-30,151.35
2010-08-02,152.82
2010-08-03,152.12
2010-08-04,153.62
2010-08-05,155.63
2010-08-06,154.54
2010-08-09,155.93
2010-08-10,154.02
2010-08-11,151.72
2010-08-12,147.81
2010-08-13,149.38
2010-08-16,147.58
2010-08-17,148.68
2010-08-18,148.54
2010-08-19,148.67
2010-08-20,147.44
2010-08-23,148.12
2010-08-24,144.8
2010-08-25,142.81
