time_captured,GE_High
2010-10-11,17.26
2010-10-12,17.3
2010-10-13,17.49
2010-10-14,17.39
2010-10-15,16.79
2010-10-18,16.34
2010-10-19,16.26
2010-10-20,16.2
2010-10-21,16.37
2010-10-22,16.2
2010-10-25,16.32
2010-10-26,16.32
2010-10-27,16.14
2010-10-28,16.3
2010-10-29,16.13
2010-11-01,16.18
2010-11-02,16.07
2010-11-03,16.1
2010-11-04,16.59
2010-11-05,16.86
2010-11-08,16.84
2010-11-09,16.82
2010-11-10,16.67
2010-11-11,16.52
2010-11-12,16.39
2010-11-15,16.43
2010-11-16,16.16
2010-11-17,15.92
2010-11-18,16.2
2010-11-19,16.23
2010-11-22,16.14
2010-11-23,15.89
2010-11-24,15.98
2010-11-26,15.88
2010-11-29,16.05
2010-11-30,15.95
2010-12-01,16.3
2010-12-02,16.68
2010-12-03,16.8
2010-12-06,16.86
2010-12-07,17.28
2010-12-08,17.13
2010-12-09,17.23
2010-12-10,17.88
2010-12-13,17.9
2010-12-14,17.9
2010-12-15,17.71
2010-12-16,17.87
2010-12-17,17.77
2010-12-20,17.8
2010-12-21,18.0
2010-12-22,18.08
2010-12-23,18.15
2010-12-27,18.23
2010-12-28,18.41
2010-12-29,18.49
2010-12-30,18.35
2010-12-31,18.35
2011-01-03,18.5
2011-01-04,18.61
2011-01-05,18.72
2011-01-06,18.72
2011-01-07,18.66
2011-01-10,18.75
2011-01-11,18.81
2011-01-12,18.73
2011-01-13,18.8
