time_captured,CVX_High
2009-09-21,72.39
2009-09-22,72.97
2009-09-23,72.88
2009-09-24,71.6
2009-09-25,71.39
2009-09-28,71.97
2009-09-29,71.8
2009-09-30,71.14
2009-10-01,70.4
2009-10-02,68.79
2009-10-05,69.8
2009-10-06,70.85
2009-10-07,70.69
2009-10-08,71.82
2009-10-09,72.94
2009-10-12,74.1
2009-10-13,74.41
2009-10-14,75.74
2009-10-15,76.86
2009-10-16,76.99
2009-10-19,78.05
2009-10-20,77.71
2009-10-21,78.36
2009-10-22,77.73
2009-10-23,77.38
2009-10-26,78.44
2009-10-27,77.25
2009-10-28,77.04
2009-10-29,78.22
2009-10-30,78.5
2009-11-02,77.6
2009-11-03,77.33
2009-11-04,77.5
2009-11-05,77.75
2009-11-06,77.58
2009-11-09,78.38
2009-11-10,78.44
2009-11-11,79.14
2009-11-12,78.6
2009-11-13,78.51
2009-11-16,78.86
2009-11-17,79.04
2009-11-18,78.99
2009-11-19,78.68
2009-11-20,77.23
2009-11-23,79.24
2009-11-24,79.23
2009-11-25,79.82
2009-11-27,78.73
2009-11-30,78.67
2009-12-01,79.42
2009-12-02,79.01
2009-12-03,78.82
2009-12-04,79.25
2009-12-07,78.92
2009-12-08,77.98
2009-12-09,77.31
2009-12-10,78.34
2009-12-11,78.17
2009-12-14,78.71
2009-12-15,77.97
2009-12-16,78.69
2009-12-17,77.55
2009-12-18,77.67
2009-12-21,78.0
2009-12-22,78.04
2009-12-23,77.93
2009-12-24,77.5
2009-12-28,77.9
2009-12-29,77.94
2009-12-30,77.67
2009-12-31,77.78
2010-01-04,79.2
2010-01-05,79.62
2010-01-06,80.0
2010-01-07,79.7
2010-01-08,79.47
2010-01-11,81.09
2010-01-12,80.45
2010-01-13,80.41
2010-01-14,79.8
2010-01-15,79.69
2010-01-19,79.75
2010-01-20,78.93
2010-01-21,78.18
2010-01-22,76.59
2010-01-25,75.27
2010-01-26,74.88
2010-01-27,74.36
2010-01-28,74.18
2010-01-29,74.07
2010-02-01,73.74
2010-02-02,74.58
2010-02-03,74.36
2010-02-04,72.83
2010-02-05,71.24
2010-02-08,71.45
2010-02-09,72.03
2010-02-10,71.23
2010-02-11,72.11
2010-02-12,71.3
2010-02-16,73.32
2010-02-17,73.43
2010-02-18,73.72
2010-02-19,74.38
2010-02-22,74.22
2010-02-23,72.93
2010-02-24,72.45
2010-02-25,72.19
2010-02-26,72.69
2010-03-01,73.18
2010-03-02,73.91
2010-03-03,73.85
2010-03-04,73.5
2010-03-05,74.47
2010-03-08,74.88
2010-03-09,74.91
2010-03-10,74.33
2010-03-11,74.09
2010-03-12,74.24
2010-03-15,73.63
2010-03-16,74.12
2010-03-17,75.06
2010-03-18,75.07
2010-03-19,75.16
2010-03-22,74.88
2010-03-23,74.79
2010-03-24,74.5
2010-03-25,74.62
2010-03-26,74.88
2010-03-29,75.44
2010-03-30,75.5
2010-03-31,76.14
2010-04-01,77.13
2010-04-05,77.75
2010-04-06,78.0
2010-04-07,77.83
2010-04-08,78.0
2010-04-09,79.62
2010-04-12,80.8
2010-04-13,80.57
2010-04-14,80.61
2010-04-15,81.76
2010-04-16,81.9
2010-04-19,81.5
2010-04-20,82.36
2010-04-21,82.67
2010-04-22,81.45
2010-04-23,82.77
2010-04-26,83.14
2010-04-27,82.51
2010-04-28,80.92
2010-04-29,82.99
2010-04-30,83.13
2010-05-03,83.41
2010-05-04,82.24
2010-05-05,80.73
2010-05-06,80.21
2010-05-07,78.61
2010-05-10,80.56
2010-05-11,80.74
2010-05-12,80.46
2010-05-13,80.06
2010-05-14,78.49
2010-05-17,77.95
2010-05-18,78.67
2010-05-19,77.0
2010-05-20,75.4
2010-05-21,74.65
2010-05-24,74.38
2010-05-25,72.69
2010-05-26,73.5
2010-05-27,74.36
2010-05-28,74.4
2010-06-01,74.52
2010-06-02,74.13
2010-06-03,74.75
2010-06-04,72.71
2010-06-07,72.49
2010-06-08,71.73
2010-06-09,72.39
2010-06-10,74.17
2010-06-11,74.06
2010-06-14,75.54
2010-06-15,75.26
2010-06-16,75.39
2010-06-17,75.49
2010-06-18,75.75
2010-06-21,77.25
2010-06-22,75.72
2010-06-23,73.9
2010-06-24,72.13
2010-06-25,71.13
2010-06-28,70.57
2010-06-29,69.39
2010-06-30,69.06
2010-07-01,68.3
2010-07-02,68.15
2010-07-06,68.32
2010-07-07,69.5
2010-07-08,70.69
2010-07-09,72.0
2010-07-12,72.13
2010-07-13,73.58
2010-07-14,73.12
2010-07-15,73.23
2010-07-16,72.84
2010-07-19,72.3
2010-07-20,73.21
2010-07-21,73.55
2010-07-22,74.0
2010-07-23,73.55
2010-07-26,74.62
2010-07-27,75.43
2010-07-28,75.66
2010-07-29,76.37
2010-07-30,76.37
2010-08-02,78.33
2010-08-03,79.12
2010-08-04,79.1
2010-08-05,79.19
2010-08-06,79.02
2010-08-09,79.43
2010-08-10,79.48
2010-08-11,77.98
2010-08-12,77.78
2010-08-13,77.77
2010-08-16,77.83
2010-08-17,78.08
2010-08-18,77.73
2010-08-19,76.82
2010-08-20,75.56
2010-08-23,75.99
2010-08-24,74.9
2010-08-25,74.3
2010-08-26,74.38
2010-08-27,75.04
2010-08-30,74.8
2010-08-31,74.53
2010-09-01,76.91
2010-09-02,77.48
2010-09-03,78.0
2010-09-07,77.91
2010-09-08,77.88
2010-09-09,78.28
2010-09-10,78.82
2010-09-13,79.51
2010-09-14,79.98
2010-09-15,79.33
2010-09-16,79.13
2010-09-17,79.73
2010-09-20,80.13
2010-09-21,80.23
2010-09-22,80.4
2010-09-23,79.37
2010-09-24,80.29
2010-09-27,80.61
2010-09-28,81.2
2010-09-29,81.7
2010-09-30,82.19
2010-10-01,82.36
2010-10-04,82.14
2010-10-05,83.5
2010-10-06,84.3
2010-10-07,84.5
2010-10-08,84.1
2010-10-11,84.0
2010-10-12,84.18
2010-10-13,84.11
2010-10-14,83.92
2010-10-15,84.54
2010-10-18,84.77
2010-10-19,83.68
2010-10-20,84.52
2010-10-21,85.0
2010-10-22,84.79
2010-10-25,85.79
2010-10-26,85.24
2010-10-27,84.64
2010-10-28,85.65
2010-10-29,83.23
2010-11-01,84.08
2010-11-02,82.45
2010-11-03,83.12
2010-11-04,85.31
2010-11-05,85.32
2010-11-08,85.0
2010-11-09,84.27
2010-11-10,85.22
2010-11-11,86.19
2010-11-12,85.61
2010-11-15,85.97
2010-11-16,83.58
2010-11-17,83.13
2010-11-18,83.98
2010-11-19,83.96
2010-11-22,83.58
2010-11-23,82.5
2010-11-24,83.01
2010-11-26,82.57
2010-11-29,82.05
2010-11-30,81.61
2010-12-01,83.22
2010-12-02,84.67
2010-12-03,85.0
2010-12-06,85.21
2010-12-07,86.63
2010-12-08,86.8
2010-12-09,86.98
2010-12-10,87.08
2010-12-13,88.95
2010-12-14,88.95
2010-12-15,88.63
2010-12-16,89.22
2010-12-17,88.96
2010-12-20,89.6
2010-12-21,89.82
2010-12-22,89.96
2010-12-23,90.89
2010-12-27,90.6
2010-12-28,91.43
2010-12-29,92.39
2010-12-30,91.94
2010-12-31,91.8
2011-01-03,92.38
2011-01-04,92.48
2011-01-05,92.07
2011-01-06,91.83
2011-01-07,91.3
2011-01-10,91.17
2011-01-11,91.99
2011-01-12,92.85
