time_captured,MMM_Volume
2009-09-18,4387820
2009-09-21,2561713
2009-09-22,2209879
2009-09-23,3344366
2009-09-24,3109463
2009-09-25,3470639
2009-09-28,2390386
2009-09-29,3200445
2009-09-30,4561783
2009-10-01,4362691
2009-10-02,3242900
2009-10-05,2635930
2009-10-06,2730626
2009-10-07,3167549
2009-10-08,3298811
2009-10-09,2803749
2009-10-12,2405361
2009-10-13,2460066
2009-10-14,4121804
2009-10-15,3693608
2009-10-16,3331991
2009-10-19,3066630
2009-10-20,3508003
2009-10-21,3540888
2009-10-22,7187431
2009-10-23,5455439
2009-10-26,3881252
2009-10-27,4502464
2009-10-28,4401504
2009-10-29,4203066
2009-10-30,4532434
2009-11-02,3931753
2009-11-03,3483141
2009-11-04,4076133
2009-11-05,3097692
2009-11-06,1865125
2009-11-09,3950718
2009-11-10,3503836
2009-11-11,2876394
2009-11-12,2451617
2009-11-13,2424598
2009-11-16,2994456
2009-11-17,3094510
2009-11-18,2540411
2009-11-19,2527816
2009-11-20,3027495
2009-11-23,3397493
2009-11-24,2776679
2009-11-25,1939215
2009-11-27,1865886
2009-11-30,3930091
2009-12-01,3058459
2009-12-02,2977229
2009-12-03,2992761
2009-12-04,4375937
2009-12-07,3056028
2009-12-08,5046689
2009-12-09,6599415
2009-12-10,5051522
2009-12-11,4789033
2009-12-14,4999399
2009-12-15,4633695
2009-12-16,3979191
2009-12-17,3841648
2009-12-18,6667893
2009-12-21,2761282
2009-12-22,1844664
2009-12-23,1900204
2009-12-24,931177
2009-12-28,2354178
2009-12-29,3866098
2009-12-30,2595042
2009-12-31,2050008
2010-01-04,3043663
2010-01-05,2849586
2010-01-06,5268578
2010-01-07,4470031
2010-01-08,3405793
2010-01-11,2927603
2010-01-12,3031713
2010-01-13,3101995
2010-01-14,2634101
2010-01-15,3954951
2010-01-19,4500308
2010-01-20,3671177
2010-01-21,4783159
2010-01-22,4809076
2010-01-25,3386524
2010-01-26,3137981
2010-01-27,5066850
