time_captured,IBM_Open
2010-09-14,128.43
2010-09-15,128.65
2010-09-16,129.2
2010-09-17,129.92
2010-09-20,130.24
2010-09-21,131.45
2010-09-22,131.61
2010-09-23,131.42
2010-09-24,132.42
2010-09-27,133.51
2010-09-28,134.67
2010-09-29,134.4
2010-09-30,135.5
2010-10-01,135.51
2010-10-04,135.23
2010-10-05,136.18
2010-10-06,136.88
2010-10-07,137.92
2010-10-08,138.4
2010-10-11,138.79
2010-10-12,138.4
2010-10-13,139.91
2010-10-14,140.35
2010-10-15,142.1
2010-10-18,140.9
2010-10-19,137.3
2010-10-20,138.28
2010-10-21,139.81
2010-10-22,140.15
2010-10-25,140.42
2010-10-26,139.29
2010-10-27,139.52
2010-10-28,141.84
2010-10-29,140.9
2010-11-01,143.64
2010-11-02,143.85
2010-11-03,144.24
2010-11-04,144.82
2010-11-05,145.94
2010-11-08,145.35
2010-11-09,146.7
2010-11-10,146.09
2010-11-11,144.7
2010-11-12,144.59
2010-11-15,143.89
2010-11-16,142.93
2010-11-17,142.49
2010-11-18,143.04
2010-11-19,144.38
2010-11-22,144.0
2010-11-23,144.24
2010-11-24,143.95
2010-11-26,145.3
2010-11-29,143.53
2010-11-30,142.24
2010-12-01,143.61
2010-12-02,144.33
2010-12-03,144.25
2010-12-06,144.54
2010-12-07,146.02
2010-12-08,144.35
2010-12-09,145.94
2010-12-10,144.88
2010-12-13,145.14
2010-12-14,144.26
2010-12-15,145.13
2010-12-16,144.84
2010-12-17,144.69
2010-12-20,145.39
2010-12-21,144.99
2010-12-22,145.66
2010-12-23,145.89
2010-12-27,145.12
2010-12-28,145.31
2010-12-29,146.0
2010-12-30,146.36
2010-12-31,146.73
2011-01-03,147.21
2011-01-04,147.56
2011-01-05,147.34
2011-01-06,147.13
2011-01-07,148.79
2011-01-10,147.58
2011-01-11,148.2
2011-01-12,147.99
