time_captured,CAT_Volume
2009-04-14,11035731
2009-04-15,11225779
2009-04-16,16228112
2009-04-17,14725748
2009-04-20,14373723
2009-04-21,29529757
2009-04-22,29668089
2009-04-23,16290764
2009-04-24,15806244
2009-04-27,9648613
2009-04-28,8481323
2009-04-29,11983420
2009-04-30,20109162
2009-05-01,14114765
2009-05-04,14400664
2009-05-05,13610143
2009-05-06,14763055
2009-05-07,16973985
2009-05-08,15556455
2009-05-11,9487208
2009-05-12,11919731
2009-05-13,13419822
2009-05-14,12056630
2009-05-15,14012233
2009-05-18,11019244
2009-05-19,10544398
2009-05-20,13806124
2009-05-21,14110274
2009-05-22,14294224
2009-05-26,13797247
2009-05-27,13519246
2009-05-28,15120769
2009-05-29,11077439
2009-06-01,14336881
2009-06-02,7734889
2009-06-03,9236387
2009-06-04,11318218
2009-06-05,15819817
2009-06-08,13726404
2009-06-09,10480159
2009-06-10,14927679
2009-06-11,10273799
2009-06-12,8567660
2009-06-15,10458033
2009-06-16,12501677
2009-06-17,15381883
2009-06-18,16247943
2009-06-19,14487231
2009-06-22,14198531
2009-06-23,10935872
2009-06-24,10349239
2009-06-25,11641601
2009-06-26,12586667
2009-06-29,6831517
2009-06-30,16880064
2009-07-01,11586651
2009-07-02,13564133
2009-07-06,10887071
2009-07-07,14616035
2009-07-08,15867731
2009-07-09,10184906
2009-07-10,10456627
2009-07-13,11100799
2009-07-14,10131875
2009-07-15,18069302
2009-07-16,10227464
2009-07-17,8814755
2009-07-20,21979416
2009-07-21,62789275
2009-07-22,16660027
2009-07-23,19375234
2009-07-24,17017373
2009-07-27,14346613
2009-07-28,16698600
2009-07-29,12388861
2009-07-30,14924263
2009-07-31,11731973
2009-08-03,12261776
2009-08-04,25333364
2009-08-05,15598551
2009-08-06,12247626
2009-08-07,15354632
2009-08-10,11558084
2009-08-11,13091530
2009-08-12,11465801
2009-08-13,9608385
2009-08-14,9107440
2009-08-17,11389289
2009-08-18,8899222
2009-08-19,9051051
2009-08-20,6888678
2009-08-21,12329902
2009-08-24,9773398
2009-08-25,9576236
2009-08-26,7903866
2009-08-27,8309116
2009-08-28,7568431
2009-08-31,10475258
2009-09-01,13905656
2009-09-02,8887171
2009-09-03,8787108
2009-09-04,7403465
2009-09-08,7448269
2009-09-09,12362478
2009-09-10,8197166
2009-09-11,9760270
2009-09-14,6910435
2009-09-15,20594843
