time_captured,UTX_Volume
2009-06-11,5110417
2009-06-12,3611648
2009-06-15,5762006
2009-06-16,6048791
2009-06-17,5595521
2009-06-18,5410289
2009-06-19,8405464
2009-06-22,5677547
2009-06-23,5483624
2009-06-24,6481289
2009-06-25,6110239
2009-06-26,12306476
2009-06-29,5107803
2009-06-30,6995024
2009-07-01,4670954
2009-07-02,5517197
2009-07-06,6282380
2009-07-07,6282873
2009-07-08,7001005
2009-07-09,4338875
2009-07-10,4803646
2009-07-13,5656789
2009-07-14,3613791
2009-07-15,6637614
2009-07-16,4160466
2009-07-17,4435128
2009-07-20,4400798
2009-07-21,7383230
2009-07-22,8030754
2009-07-23,11177092
2009-07-24,7666347
2009-07-27,6083949
2009-07-28,5254945
2009-07-29,4832451
2009-07-30,7583629
2009-07-31,5768398
2009-08-03,6219247
2009-08-04,6125751
2009-08-05,4436115
2009-08-06,6059182
2009-08-07,5603214
2009-08-10,4929216
2009-08-11,5561097
2009-08-12,8667211
2009-08-13,5936778
2009-08-14,4384958
2009-08-17,5412534
2009-08-18,3842315
2009-08-19,6597322
2009-08-20,5066627
2009-08-21,6823949
2009-08-24,5756776
2009-08-25,6798423
2009-08-26,3721348
2009-08-27,4082864
2009-08-28,3846541
2009-08-31,3759949
2009-09-01,6182369
2009-09-02,3724000
2009-09-03,4733854
2009-09-04,3424019
2009-09-08,4951475
2009-09-09,4924984
2009-09-10,4573734
2009-09-11,4765564
2009-09-14,4838261
2009-09-15,5412009
2009-09-16,7266162
2009-09-17,6683771
2009-09-18,6836979
2009-09-21,3690927
2009-09-22,4584111
2009-09-23,4698404
2009-09-24,4699866
2009-09-25,4668100
2009-09-28,5365825
2009-09-29,4048842
2009-09-30,6495067
2009-10-01,6125571
2009-10-02,4662794
2009-10-05,3562671
2009-10-06,3726764
2009-10-07,2375359
2009-10-08,4464285
2009-10-09,2811839
2009-10-12,3613213
2009-10-13,3683180
2009-10-14,5235692
2009-10-15,5668697
2009-10-16,6206770
2009-10-19,5979912
2009-10-20,6567312
2009-10-21,5830164
2009-10-22,4801889
2009-10-23,5562791
2009-10-26,5456803
2009-10-27,5606545
2009-10-28,5005914
2009-10-29,4990937
2009-10-30,8186514
2009-11-02,4589027
2009-11-03,4433948
2009-11-04,4446476
2009-11-05,3654170
2009-11-06,3895111
2009-11-09,3834642
2009-11-10,3552572
2009-11-11,3409017
2009-11-12,4666889
2009-11-13,4951126
2009-11-16,5373022
2009-11-17,4811229
2009-11-18,5958846
2009-11-19,4208841
2009-11-20,3361386
2009-11-23,3260616
2009-11-24,3886476
2009-11-25,2723891
2009-11-27,2598992
2009-11-30,4311281
2009-12-01,3856167
2009-12-02,2657994
2009-12-03,3787570
2009-12-04,4389369
2009-12-07,3486359
2009-12-08,4107610
2009-12-09,4835898
2009-12-10,4786433
2009-12-11,5805117
2009-12-14,4999424
2009-12-15,5469154
2009-12-16,5235445
2009-12-17,3718732
2009-12-18,9566409
2009-12-21,4094428
2009-12-22,4006926
2009-12-23,2877084
2009-12-24,1253881
2009-12-28,2021896
2009-12-29,2265969
2009-12-30,2191091
2009-12-31,2643559
2010-01-04,6104078
2010-01-05,5004889
2010-01-06,4726859
2010-01-07,4264324
2010-01-08,4654756
2010-01-11,5529998
2010-01-12,4671957
2010-01-13,4877064
2010-01-14,3551212
2010-01-15,5343245
2010-01-19,3680613
2010-01-20,3673173
2010-01-21,5111525
2010-01-22,5813947
2010-01-25,4999387
2010-01-26,4996356
2010-01-27,7690664
2010-01-28,5579133
2010-01-29,7232057
2010-02-01,4916678
2010-02-02,6129221
2010-02-03,4150985
2010-02-04,5983103
2010-02-05,7825787
2010-02-08,5260361
2010-02-09,5277448
2010-02-10,4933051
2010-02-11,5504100
2010-02-12,7957397
2010-02-16,6290951
2010-02-17,5988692
2010-02-18,4124802
2010-02-19,5296087
2010-02-22,3311292
2010-02-23,4152372
2010-02-24,4842440
2010-02-25,5920516
2010-02-26,3973110
2010-03-01,3703238
2010-03-02,5956243
2010-03-03,4835538
2010-03-04,5651723
2010-03-05,4057324
2010-03-08,4018568
2010-03-09,5560467
2010-03-10,4904430
2010-03-11,4983932
2010-03-12,5805586
2010-03-15,5463095
2010-03-16,5154484
2010-03-17,4486594
2010-03-18,3174683
2010-03-19,9199053
2010-03-22,5176803
2010-03-23,4964021
2010-03-24,4180806
2010-03-25,3936206
2010-03-26,4793739
2010-03-29,3033921
2010-03-30,2876091
2010-03-31,3761566
2010-04-01,3456279
2010-04-05,4504993
2010-04-06,3689592
2010-04-07,5225365
2010-04-08,3353261
2010-04-09,2818259
2010-04-12,3794748
2010-04-13,4417243
2010-04-14,3383875
2010-04-15,3360733
2010-04-16,7570183
2010-04-19,5122233
2010-04-20,4977841
2010-04-21,10706257
2010-04-22,8610341
2010-04-23,4710891
2010-04-26,3457258
2010-04-27,6237354
2010-04-28,6122576
2010-04-29,4974299
2010-04-30,5068410
2010-05-03,4115551
2010-05-04,5426699
2010-05-05,6179354
2010-05-06,9270349
2010-05-07,10290048
2010-05-10,7692201
2010-05-11,5971817
2010-05-12,5067183
2010-05-13,5279170
2010-05-14,6648659
2010-05-17,5980540
2010-05-18,6040528
2010-05-19,8501711
2010-05-20,10896562
2010-05-21,10626713
2010-05-24,5352565
2010-05-25,7858847
2010-05-26,6560490
2010-05-27,5075768
2010-05-28,4809540
2010-06-01,5126815
2010-06-02,4301289
2010-06-03,3912195
2010-06-04,6460248
2010-06-07,8310661
2010-06-08,7425615
2010-06-09,8001560
2010-06-10,5873363
2010-06-11,4583547
2010-06-14,6658892
2010-06-15,4944958
2010-06-16,4057650
2010-06-17,4348939
2010-06-18,6191329
2010-06-21,4520392
2010-06-22,4198041
2010-06-23,5070851
2010-06-24,5505738
2010-06-25,7919437
2010-06-28,3315722
2010-06-29,7028682
2010-06-30,6561249
2010-07-01,5676823
2010-07-02,3988754
2010-07-06,5779958
2010-07-07,5255661
2010-07-08,3637897
2010-07-09,2919556
2010-07-12,3787152
2010-07-13,5035837
2010-07-14,3441277
2010-07-15,4333851
2010-07-16,4498616
2010-07-19,4731681
2010-07-20,5256354
2010-07-21,6598645
2010-07-22,5200479
2010-07-23,4668040
2010-07-26,4541178
2010-07-27,4617411
2010-07-28,3671068
2010-07-29,5163334
2010-07-30,4726336
2010-08-02,3796887
2010-08-03,3562271
2010-08-04,2814012
2010-08-05,3069366
2010-08-06,3213541
2010-08-09,2669869
2010-08-10,4102901
2010-08-11,4839817
2010-08-12,2869292
2010-08-13,2472935
2010-08-16,2598421
2010-08-17,6485282
2010-08-18,4944548
2010-08-19,6073210
2010-08-20,3822360
