time_captured,NKE_Volume
2010-06-08,12263256
2010-06-09,12914180
2010-06-10,11831576
2010-06-11,8808792
2010-06-14,8746724
2010-06-15,8697936
2010-06-16,12700716
2010-06-17,11802612
2010-06-18,11196468
2010-06-21,11192028
2010-06-22,10388140
2010-06-23,11659032
2010-06-24,36104052
2010-06-25,18090136
2010-06-28,12720796
2010-06-29,23321012
2010-06-30,18551268
2010-07-01,20482584
2010-07-02,11627104
2010-07-06,16875000
2010-07-07,17171756
2010-07-08,17801908
2010-07-09,10962548
2010-07-12,8889976
2010-07-13,12129956
2010-07-14,11656388
2010-07-15,14103464
2010-07-16,13703756
2010-07-19,9580256
2010-07-20,14804240
2010-07-21,15788936
2010-07-22,13528356
2010-07-23,11518804
2010-07-26,10491948
2010-07-27,10412580
2010-07-28,8456760
2010-07-29,9664416
2010-07-30,8702864
2010-08-02,10268092
2010-08-03,12723684
2010-08-04,12157672
2010-08-05,8065764
2010-08-06,7699124
2010-08-09,7893612
2010-08-10,9386684
2010-08-11,12152204
2010-08-12,9752020
2010-08-13,8794600
2010-08-16,9525868
2010-08-17,10123668
2010-08-18,8783064
2010-08-19,9881108
2010-08-20,7151872
2010-08-23,7856152
2010-08-24,10616260
2010-08-25,12604568
2010-08-26,13606580
2010-08-27,10625144
2010-08-30,10087736
2010-08-31,12000824
2010-09-01,13737228
2010-09-02,9632136
2010-09-03,12278044
2010-09-07,8101536
2010-09-08,9198052
2010-09-09,7006812
2010-09-10,8159596
2010-09-13,9858548
2010-09-14,9995348
2010-09-15,15811920
2010-09-16,8693140
2010-09-17,12146508
2010-09-20,15101696
2010-09-21,13273740
2010-09-22,10488844
2010-09-23,17721700
2010-09-24,33384588
2010-09-27,18776324
2010-09-28,21709840
2010-09-29,14574220
2010-09-30,13493208
2010-10-01,14170220
2010-10-04,10353220
2010-10-05,13471228
2010-10-06,9634608
2010-10-07,12183660
2010-10-08,19038520
2010-10-11,9902968
2010-10-12,22497348
2010-10-13,10490872
2010-10-14,9410284
2010-10-15,8277124
2010-10-18,6297748
2010-10-19,10816524
2010-10-20,7533368
2010-10-21,11593464
2010-10-22,4240536
2010-10-25,8883144
2010-10-26,10289868
2010-10-27,8974292
2010-10-28,6505708
2010-10-29,8051780
2010-11-01,7583424
2010-11-02,7117996
2010-11-03,7029580
2010-11-04,9876144
2010-11-05,9039088
2010-11-08,7300400
2010-11-09,9705504
2010-11-10,8811488
2010-11-11,6689632
2010-11-12,7630544
2010-11-15,7975712
2010-11-16,12930848
2010-11-17,10762332
