time_captured,02_on_raw_accX
1970-01-01 00:00:00.000000363,-451.156
1970-01-01 00:00:00.000000364,-533.262
1970-01-01 00:00:00.000000365,-254.126
1970-01-01 00:00:00.000000366,-78.324
1970-01-01 00:00:00.000000367,712.968
1970-01-01 00:00:00.000000368,1258.674
1970-01-01 00:00:00.000000369,872.3
1970-01-01 00:00:00.000000370,-869.86
1970-01-01 00:00:00.000000371,-417.728
1970-01-01 00:00:00.000000372,-386.74
1970-01-01 00:00:00.000000373,-637.206
1970-01-01 00:00:00.000000374,-215.696
1970-01-01 00:00:00.000000375,189.588
1970-01-01 00:00:00.000000376,1019.554
1970-01-01 00:00:00.000000377,1203.652
1970-01-01 00:00:00.000000378,-452.132
1970-01-01 00:00:00.000000379,-765.794
1970-01-01 00:00:00.000000380,-294.264
1970-01-01 00:00:00.000000381,-577.426
1970-01-01 00:00:00.000000382,-608.292
1970-01-01 00:00:00.000000383,-194.102
1970-01-01 00:00:00.000000384,200.568
1970-01-01 00:00:00.000000385,1115.202
1970-01-01 00:00:00.000000386,966.606
1970-01-01 00:00:00.000000387,304.268
1970-01-01 00:00:00.000000388,-551.196
1970-01-01 00:00:00.000000389,-317.322
1970-01-01 00:00:00.000000390,-317.322
1970-01-01 00:00:00.000000391,-742.492
1970-01-01 00:00:00.000000392,-72.712
1970-01-01 00:00:00.000000393,377.224
1970-01-01 00:00:00.000000394,1242.204
1970-01-01 00:00:00.000000395,840.946
1970-01-01 00:00:00.000000396,-58.072
1970-01-01 00:00:00.000000397,-507.886
1970-01-01 00:00:00.000000398,-331.474
1970-01-01 00:00:00.000000399,-331.474
1970-01-01 00:00:00.000000400,-643.062
1970-01-01 00:00:00.000000401,-226.066
1970-01-01 00:00:00.000000402,555.466
1970-01-01 00:00:00.000000403,1156.56
1970-01-01 00:00:00.000000404,1143.384
1970-01-01 00:00:00.000000405,-812.52
1970-01-01 00:00:00.000000406,-516.426
1970-01-01 00:00:00.000000407,-460.184
1970-01-01 00:00:00.000000408,-459.086
1970-01-01 00:00:00.000000409,-510.814
1970-01-01 00:00:00.000000410,-252.906
1970-01-01 00:00:00.000000411,558.76
1970-01-01 00:00:00.000000412,1280.756
1970-01-01 00:00:00.000000413,1077.748
1970-01-01 00:00:00.000000414,-1104.588
1970-01-01 00:00:00.000000415,-676.002
1970-01-01 00:00:00.000000416,-320.86
1970-01-01 00:00:00.000000417,-411.75
1970-01-01 00:00:00.000000418,-217.282
1970-01-01 00:00:00.000000419,-159.088
1970-01-01 00:00:00.000000420,523.624
1970-01-01 00:00:00.000000421,1260.138
1970-01-01 00:00:00.000000422,923.784
1970-01-01 00:00:00.000000423,3.66
1970-01-01 00:00:00.000000424,-1184.742
1970-01-01 00:00:00.000000425,-468.968
1970-01-01 00:00:00.000000426,-468.968
1970-01-01 00:00:00.000000427,-545.706
1970-01-01 00:00:00.000000428,-133.468
1970-01-01 00:00:00.000000429,825.33
1970-01-01 00:00:00.000000430,1261.48
1970-01-01 00:00:00.000000431,596.58
1970-01-01 00:00:00.000000432,-338.062
1970-01-01 00:00:00.000000433,-834.968
1970-01-01 00:00:00.000000434,-398.696
1970-01-01 00:00:00.000000435,-547.78
1970-01-01 00:00:00.000000436,-458.842
1970-01-01 00:00:00.000000437,-71.248
1970-01-01 00:00:00.000000438,983.32
1970-01-01 00:00:00.000000439,971.12
1970-01-01 00:00:00.000000440,487.634
1970-01-01 00:00:00.000000441,-350.872
1970-01-01 00:00:00.000000442,-740.54
1970-01-01 00:00:00.000000443,-396.256
1970-01-01 00:00:00.000000444,-490.318
1970-01-01 00:00:00.000000445,-616.832
