time_captured,MCD_Low
2009-08-25,56.15
2009-08-26,56.3
2009-08-27,56.59
2009-08-28,55.76
2009-08-31,55.65
2009-09-01,55.46
2009-09-02,54.69
2009-09-03,55.06
2009-09-04,55.4
2009-09-08,56.0
2009-09-09,54.69
2009-09-10,54.75
2009-09-11,54.23
2009-09-14,53.88
2009-09-15,54.17
2009-09-16,55.0
2009-09-17,56.05
2009-09-18,56.3
2009-09-21,55.83
2009-09-22,55.58
2009-09-23,55.5
2009-09-24,55.54
2009-09-25,56.42
2009-09-28,57.08
2009-09-29,57.05
2009-09-30,56.22
2009-10-01,56.46
2009-10-02,56.09
2009-10-05,56.29
2009-10-06,56.72
2009-10-07,56.72
2009-10-08,56.81
2009-10-09,56.03
2009-10-12,56.57
2009-10-13,56.68
2009-10-14,57.39
2009-10-15,57.27
2009-10-16,58.06
2009-10-19,58.82
2009-10-20,58.62
2009-10-21,58.0
2009-10-22,59.09
2009-10-23,59.02
2009-10-26,59.12
2009-10-27,58.44
2009-10-28,58.6
2009-10-29,58.6
2009-10-30,58.56
2009-11-02,58.6
2009-11-03,58.82
2009-11-04,59.2
2009-11-05,60.29
2009-11-06,61.03
2009-11-09,62.13
2009-11-10,61.98
2009-11-11,62.45
2009-11-12,61.99
2009-11-13,62.17
2009-11-16,63.71
2009-11-17,63.45
2009-11-18,63.22
2009-11-19,63.05
2009-11-20,63.25
2009-11-23,63.68
2009-11-24,63.27
2009-11-25,64.27
2009-11-27,62.98
2009-11-30,63.03
2009-12-01,63.51
2009-12-02,62.49
2009-12-03,61.95
2009-12-04,61.14
2009-12-07,61.29
2009-12-08,60.04
2009-12-09,60.33
2009-12-10,60.69
2009-12-11,61.19
2009-12-14,61.82
2009-12-15,61.89
2009-12-16,61.93
2009-12-17,61.92
2009-12-18,61.97
2009-12-21,62.14
2009-12-22,62.66
2009-12-23,62.57
2009-12-24,63.25
2009-12-28,63.15
2009-12-29,63.56
2009-12-30,62.81
2009-12-31,62.39
2010-01-04,62.31
2010-01-05,62.19
2010-01-06,61.06
2010-01-07,61.11
2010-01-08,61.6
2010-01-11,61.85
2010-01-12,62.0
2010-01-13,62.56
2010-01-14,62.08
2010-01-15,62.05
2010-01-19,62.77
2010-01-20,62.75
2010-01-21,62.8
2010-01-22,62.81
2010-01-25,62.92
2010-01-26,62.75
2010-01-27,63.3
2010-01-28,62.75
2010-01-29,62.39
2010-02-01,62.83
2010-02-02,63.35
2010-02-03,64.61
2010-02-04,64.02
2010-02-05,62.63
2010-02-08,62.92
2010-02-09,62.77
2010-02-10,62.97
2010-02-11,62.54
2010-02-12,63.19
2010-02-16,63.28
2010-02-17,63.77
2010-02-18,64.0
2010-02-19,64.3
2010-02-22,64.63
2010-02-23,64.7
2010-02-24,64.77
2010-02-25,63.76
2010-02-26,63.85
2010-03-01,63.67
2010-03-02,63.91
2010-03-03,63.45
2010-03-04,63.3
2010-03-05,63.25
2010-03-08,64.23
2010-03-09,64.84
2010-03-10,64.73
2010-03-11,64.67
2010-03-12,65.36
2010-03-15,65.69
2010-03-16,65.8
2010-03-17,65.87
2010-03-18,66.36
2010-03-19,66.0
2010-03-22,65.9
2010-03-23,66.83
2010-03-24,66.58
2010-03-25,66.84
2010-03-26,66.93
2010-03-29,66.59
2010-03-30,66.92
2010-03-31,66.63
2010-04-01,67.06
2010-04-05,67.76
2010-04-06,67.65
2010-04-07,67.26
2010-04-08,67.87
2010-04-09,68.14
2010-04-12,68.37
2010-04-13,68.31
2010-04-14,69.05
2010-04-15,68.97
2010-04-16,68.33
2010-04-19,68.99
2010-04-20,69.95
2010-04-21,70.05
2010-04-22,70.12
2010-04-23,70.75
2010-04-26,70.73
2010-04-27,70.4
2010-04-28,69.76
2010-04-29,70.58
2010-04-30,70.39
2010-05-03,70.65
2010-05-04,70.3
2010-05-05,70.13
2010-05-06,67.49
2010-05-07,67.42
2010-05-10,69.75
2010-05-11,70.13
2010-05-12,70.15
2010-05-13,70.45
2010-05-14,69.1
2010-05-17,69.35
2010-05-18,69.84
2010-05-19,68.9
2010-05-20,67.63
2010-05-21,65.55
2010-05-24,67.26
2010-05-25,66.2
2010-05-26,66.0
2010-05-27,66.02
2010-05-28,66.75
2010-06-01,66.04
2010-06-02,66.2
2010-06-03,67.44
2010-06-04,66.52
2010-06-07,66.25
2010-06-08,65.81
2010-06-09,68.04
2010-06-10,68.71
2010-06-11,68.75
2010-06-14,69.3
2010-06-15,69.85
2010-06-16,70.01
2010-06-17,69.38
2010-06-18,69.81
2010-06-21,69.77
2010-06-22,68.55
2010-06-23,68.47
2010-06-24,67.61
2010-06-25,67.37
2010-06-28,67.25
2010-06-29,66.09
2010-06-30,65.8
2010-07-01,65.31
2010-07-02,65.96
2010-07-06,65.63
2010-07-07,66.0
2010-07-08,67.55
2010-07-09,68.75
2010-07-12,68.96
2010-07-13,70.12
2010-07-14,70.16
2010-07-15,70.43
2010-07-16,69.86
2010-07-19,69.45
2010-07-20,69.44
2010-07-21,69.65
2010-07-22,70.51
2010-07-23,68.94
2010-07-26,69.9
2010-07-27,69.99
2010-07-28,69.37
2010-07-29,68.9
2010-07-30,68.59
2010-08-02,69.93
2010-08-03,70.06
2010-08-04,70.21
2010-08-05,69.84
2010-08-06,70.02
2010-08-09,72.35
2010-08-10,71.97
2010-08-11,71.5
2010-08-12,71.04
2010-08-13,71.69
2010-08-16,71.54
2010-08-17,71.74
2010-08-18,72.8
2010-08-19,72.45
2010-08-20,72.68
2010-08-23,73.33
2010-08-24,72.19
2010-08-25,72.3
2010-08-26,73.11
2010-08-27,72.86
2010-08-30,72.74
2010-08-31,72.55
2010-09-01,73.72
2010-09-02,74.29
2010-09-03,74.42
2010-09-07,74.93
2010-09-08,75.75
2010-09-09,73.66
2010-09-10,74.18
2010-09-13,74.01
2010-09-14,73.81
2010-09-15,73.71
2010-09-16,74.35
2010-09-17,74.13
2010-09-20,74.3
2010-09-21,74.88
2010-09-22,75.0
2010-09-23,74.58
2010-09-24,74.94
2010-09-27,74.75
2010-09-28,74.22
2010-09-29,74.3
2010-09-30,73.87
2010-10-01,74.54
2010-10-04,74.4
2010-10-05,75.25
2010-10-06,75.4
2010-10-07,75.51
2010-10-08,75.64
2010-10-11,75.27
2010-10-12,74.88
