time_captured,01_off_raw_accZ
1970-01-01 00:00:00.000000482,965.508
1970-01-01 00:00:00.000000483,961.97
1970-01-01 00:00:00.000000484,962.824
1970-01-01 00:00:00.000000485,965.874
1970-01-01 00:00:00.000000486,963.19
1970-01-01 00:00:00.000000487,959.652
1970-01-01 00:00:00.000000488,962.214
1970-01-01 00:00:00.000000489,962.214
1970-01-01 00:00:00.000000490,957.822
1970-01-01 00:00:00.000000491,959.896
1970-01-01 00:00:00.000000492,963.678
1970-01-01 00:00:00.000000493,957.334
1970-01-01 00:00:00.000000494,957.334
1970-01-01 00:00:00.000000495,960.628
1970-01-01 00:00:00.000000496,964.41
1970-01-01 00:00:00.000000497,959.042
1970-01-01 00:00:00.000000498,960.506
1970-01-01 00:00:00.000000499,962.702
1970-01-01 00:00:00.000000500,960.14
1970-01-01 00:00:00.000000501,960.994
1970-01-01 00:00:00.000000502,966.118
1970-01-01 00:00:00.000000503,963.068
1970-01-01 00:00:00.000000504,963.068
1970-01-01 00:00:00.000000505,957.944
1970-01-01 00:00:00.000000506,965.386
1970-01-01 00:00:00.000000507,961.726
1970-01-01 00:00:00.000000508,958.92
1970-01-01 00:00:00.000000509,963.312
1970-01-01 00:00:00.000000510,960.14
1970-01-01 00:00:00.000000511,960.384
1970-01-01 00:00:00.000000512,966.118
1970-01-01 00:00:00.000000513,959.774
1970-01-01 00:00:00.000000514,959.774
1970-01-01 00:00:00.000000515,958.92
1970-01-01 00:00:00.000000516,968.192
1970-01-01 00:00:00.000000517,963.922
1970-01-01 00:00:00.000000518,959.042
1970-01-01 00:00:00.000000519,964.288
1970-01-01 00:00:00.000000520,964.654
1970-01-01 00:00:00.000000521,965.752
1970-01-01 00:00:00.000000522,963.434
1970-01-01 00:00:00.000000523,957.7
1970-01-01 00:00:00.000000524,957.7
1970-01-01 00:00:00.000000525,959.164
1970-01-01 00:00:00.000000526,964.166
1970-01-01 00:00:00.000000527,959.164
1970-01-01 00:00:00.000000528,957.7
1970-01-01 00:00:00.000000529,964.166
1970-01-01 00:00:00.000000530,960.75
1970-01-01 00:00:00.000000531,961.116
1970-01-01 00:00:00.000000532,959.652
1970-01-01 00:00:00.000000533,957.334
1970-01-01 00:00:00.000000534,957.334
1970-01-01 00:00:00.000000535,958.066
1970-01-01 00:00:00.000000536,962.702
1970-01-01 00:00:00.000000537,960.994
1970-01-01 00:00:00.000000538,956.48
1970-01-01 00:00:00.000000539,966.118
1970-01-01 00:00:00.000000540,959.896
1970-01-01 00:00:00.000000541,960.994
1970-01-01 00:00:00.000000542,964.776
1970-01-01 00:00:00.000000543,962.824
