time_captured,JPM_Volume
2010-05-13,35332112
2010-05-14,60719888
2010-05-17,56506878
2010-05-18,61746022
2010-05-19,64602620
2010-05-20,76565502
2010-05-21,89588793
2010-05-24,49242316
2010-05-25,66813670
2010-05-26,50722221
2010-05-27,44851607
2010-05-28,41252340
2010-06-01,37848559
2010-06-02,39618408
2010-06-03,30956959
2010-06-04,52868851
2010-06-07,44528215
2010-06-08,51017832
2010-06-09,42585909
2010-06-10,44302588
2010-06-11,31147584
2010-06-14,48662150
2010-06-15,45364115
2010-06-16,37220666
2010-06-17,34755040
2010-06-18,37270782
2010-06-21,33665045
2010-06-22,42253316
2010-06-23,45046088
2010-06-24,73853657
2010-06-25,70742457
2010-06-28,39968436
2010-06-29,56696705
2010-06-30,35336326
2010-07-01,56647119
2010-07-02,36802729
2010-07-06,35955358
2010-07-07,44604148
2010-07-08,41500800
2010-07-09,30427958
2010-07-12,25000377
2010-07-13,48564751
2010-07-14,37320546
2010-07-15,81876125
2010-07-16,58507329
2010-07-19,35404826
2010-07-20,43538936
2010-07-21,41115560
2010-07-22,35495970
2010-07-23,28240909
2010-07-26,27206928
2010-07-27,44872683
2010-07-28,23945338
2010-07-29,29010262
2010-07-30,26444862
2010-08-02,35566679
2010-08-03,29967837
2010-08-04,23079686
2010-08-05,19830561
2010-08-06,34906770
2010-08-09,37795886
2010-08-10,34166433
2010-08-11,46201524
2010-08-12,35387300
2010-08-13,24564012
2010-08-16,28334062
2010-08-17,33883767
2010-08-18,27046143
2010-08-19,35387240
2010-08-20,30866394
2010-08-23,29282753
2010-08-24,48721687
2010-08-25,36063111
2010-08-26,31884601
2010-08-27,38449040
2010-08-30,27306470
2010-08-31,35030536
2010-09-01,36770447
2010-09-02,31282882
2010-09-03,34135589
2010-09-07,31885417
2010-09-08,30780924
2010-09-09,33438796
2010-09-10,21932099
2010-09-13,41643163
2010-09-14,42754045
2010-09-15,25405325
2010-09-16,25207452
2010-09-17,45938293
2010-09-20,33380587
2010-09-21,33548811
2010-09-22,34546338
2010-09-23,33471068
2010-09-24,28855020
2010-09-27,25686177
2010-09-28,31442541
2010-09-29,40206962
2010-09-30,54893036
2010-10-01,38973702
2010-10-04,38886009
2010-10-05,42379484
2010-10-06,31559812
2010-10-07,26923896
2010-10-08,28178479
2010-10-11,24600980
2010-10-12,38798017
2010-10-13,69607657
2010-10-14,76504897
2010-10-15,142280325
2010-10-18,55116886
