time_captured,PFE_Close
2009-12-11,18.3
2009-12-14,18.4
2009-12-15,18.29
2009-12-16,18.41
2009-12-17,18.22
2009-12-18,18.3
2009-12-21,18.61
2009-12-22,18.61
2009-12-23,18.58
2009-12-24,18.6
2009-12-28,18.63
2009-12-29,18.56
2009-12-30,18.5
2009-12-31,18.19
2010-01-04,18.93
2010-01-05,18.66
2010-01-06,18.6
2010-01-07,18.53
2010-01-08,18.68
2010-01-11,18.83
2010-01-12,18.77
2010-01-13,19.21
2010-01-14,19.38
2010-01-15,19.49
2010-01-19,20.0
2010-01-20,19.94
2010-01-21,19.24
2010-01-22,18.96
2010-01-25,18.85
2010-01-26,18.78
2010-01-27,19.0
2010-01-28,18.63
2010-01-29,18.66
2010-02-01,18.79
2010-02-02,19.24
2010-02-03,18.62
2010-02-04,18.03
2010-02-05,17.96
2010-02-08,17.84
2010-02-09,17.88
2010-02-10,17.74
2010-02-11,17.87
2010-02-12,17.8
2010-02-16,17.72
2010-02-17,17.67
2010-02-18,17.73
2010-02-19,17.99
2010-02-22,17.95
2010-02-23,17.67
2010-02-24,17.81
2010-02-25,17.69
2010-02-26,17.55
2010-03-01,17.75
2010-03-02,17.6
2010-03-03,17.32
2010-03-04,17.33
2010-03-05,17.48
2010-03-08,17.35
2010-03-09,17.23
2010-03-10,17.15
2010-03-11,17.29
2010-03-12,17.08
2010-03-15,17.26
2010-03-16,17.26
2010-03-17,17.21
2010-03-18,17.23
2010-03-19,16.91
2010-03-22,17.15
2010-03-23,17.54
2010-03-24,17.61
2010-03-25,17.39
2010-03-26,17.14
2010-03-29,17.28
2010-03-30,17.26
2010-03-31,17.15
2010-04-01,17.08
2010-04-05,16.9
2010-04-06,16.96
2010-04-07,17.07
2010-04-08,17.14
2010-04-09,17.25
2010-04-12,17.29
2010-04-13,17.18
2010-04-14,17.07
2010-04-15,16.99
2010-04-16,16.8
2010-04-19,16.79
2010-04-20,16.76
2010-04-21,16.6
2010-04-22,16.48
2010-04-23,16.91
2010-04-26,16.82
2010-04-27,16.46
2010-04-28,16.53
2010-04-29,16.86
2010-04-30,16.72
2010-05-03,16.91
2010-05-04,17.26
2010-05-05,17.18
2010-05-06,16.74
2010-05-07,16.46
2010-05-10,17.0
2010-05-11,17.01
2010-05-12,16.9
2010-05-13,16.56
2010-05-14,16.2
2010-05-17,16.11
2010-05-18,15.81
2010-05-19,15.82
2010-05-20,15.23
2010-05-21,15.4
2010-05-24,15.22
2010-05-25,15.06
2010-05-26,15.11
2010-05-27,15.37
2010-05-28,15.23
2010-06-01,14.99
2010-06-02,15.2
2010-06-03,15.23
2010-06-04,14.76
2010-06-07,14.52
2010-06-08,14.55
2010-06-09,14.52
2010-06-10,14.91
2010-06-11,15.46
2010-06-14,15.33
2010-06-15,15.52
2010-06-16,15.48
2010-06-17,15.47
