time_captured,02_on_raw_accZ
1970-01-01 00:00:00.000000459,1122.278
1970-01-01 00:00:00.000000460,1025.41
1970-01-01 00:00:00.000000461,810.934
1970-01-01 00:00:00.000000462,938.302
1970-01-01 00:00:00.000000463,820.816
1970-01-01 00:00:00.000000464,813.74
1970-01-01 00:00:00.000000465,1317.966
1970-01-01 00:00:00.000000466,1194.624
1970-01-01 00:00:00.000000467,978.196
1970-01-01 00:00:00.000000468,1119.472
1970-01-01 00:00:00.000000469,623.786
1970-01-01 00:00:00.000000470,515.694
1970-01-01 00:00:00.000000471,698.816
1970-01-01 00:00:00.000000472,441.274
1970-01-01 00:00:00.000000473,853.024
1970-01-01 00:00:00.000000474,1063.596
1970-01-01 00:00:00.000000475,1350.296
1970-01-01 00:00:00.000000476,1087.386
1970-01-01 00:00:00.000000477,1210.118
1970-01-01 00:00:00.000000478,477.752
1970-01-01 00:00:00.000000479,296.826
1970-01-01 00:00:00.000000480,825.574
1970-01-01 00:00:00.000000481,1010.77
1970-01-01 00:00:00.000000482,1102.514
1970-01-01 00:00:00.000000483,1697.508
1970-01-01 00:00:00.000000484,753.106
1970-01-01 00:00:00.000000485,1061.156
1970-01-01 00:00:00.000000486,1087.264
1970-01-01 00:00:00.000000487,796.172
1970-01-01 00:00:00.000000488,291.458
1970-01-01 00:00:00.000000489,681.37
1970-01-01 00:00:00.000000490,895.968
1970-01-01 00:00:00.000000491,928.664
1970-01-01 00:00:00.000000492,1955.416
1970-01-01 00:00:00.000000493,821.426
1970-01-01 00:00:00.000000494,1150.338
1970-01-01 00:00:00.000000495,702.72
1970-01-01 00:00:00.000000496,508.252
1970-01-01 00:00:00.000000497,295.362
1970-01-01 00:00:00.000000498,933.3
1970-01-01 00:00:00.000000499,884.5
1970-01-01 00:00:00.000000500,988.2
1970-01-01 00:00:00.000000501,1216.828
1970-01-01 00:00:00.000000502,1244.034
1970-01-01 00:00:00.000000503,1115.202
1970-01-01 00:00:00.000000504,945.866
1970-01-01 00:00:00.000000505,462.136
1970-01-01 00:00:00.000000506,432.49
1970-01-01 00:00:00.000000507,1317.966
1970-01-01 00:00:00.000000508,1179.618
1970-01-01 00:00:00.000000509,1000.278
1970-01-01 00:00:00.000000510,1225.856
1970-01-01 00:00:00.000000511,1255.746
1970-01-01 00:00:00.000000512,845.094
1970-01-01 00:00:00.000000513,918.416
1970-01-01 00:00:00.000000514,580.476
1970-01-01 00:00:00.000000515,377.102
1970-01-01 00:00:00.000000516,1323.212
1970-01-01 00:00:00.000000517,806.298
1970-01-01 00:00:00.000000518,1332.85
1970-01-01 00:00:00.000000519,1264.286
1970-01-01 00:00:00.000000520,1161.806
1970-01-01 00:00:00.000000521,1340.414
