time_captured,06_c25_raw_accY
1970-01-01 00:00:00.000000409,162.748
1970-01-01 00:00:00.000000410,238.754
1970-01-01 00:00:00.000000411,136.64
1970-01-01 00:00:00.000000412,-146.4
1970-01-01 00:00:00.000000413,195.566
1970-01-01 00:00:00.000000414,-45.262
1970-01-01 00:00:00.000000415,-376.126
1970-01-01 00:00:00.000000416,-562.298
1970-01-01 00:00:00.000000417,-381.982
1970-01-01 00:00:00.000000418,59.17
1970-01-01 00:00:00.000000419,-274.988
1970-01-01 00:00:00.000000420,47.824
1970-01-01 00:00:00.000000421,40.992
1970-01-01 00:00:00.000000422,-147.132
1970-01-01 00:00:00.000000423,-124.318
1970-01-01 00:00:00.000000424,208.254
1970-01-01 00:00:00.000000425,322.934
1970-01-01 00:00:00.000000426,806.542
1970-01-01 00:00:00.000000427,445.056
1970-01-01 00:00:00.000000428,-142.13
1970-01-01 00:00:00.000000429,-68.442
1970-01-01 00:00:00.000000430,13.786
1970-01-01 00:00:00.000000431,-54.046
1970-01-01 00:00:00.000000432,-227.286
1970-01-01 00:00:00.000000433,1.464
1970-01-01 00:00:00.000000434,-250.222
1970-01-01 00:00:00.000000435,67.466
1970-01-01 00:00:00.000000436,-613.538
1970-01-01 00:00:00.000000437,107.116
1970-01-01 00:00:00.000000438,-34.77
1970-01-01 00:00:00.000000439,466.04
1970-01-01 00:00:00.000000440,130.784
1970-01-01 00:00:00.000000441,287.676
1970-01-01 00:00:00.000000442,-109.922
1970-01-01 00:00:00.000000443,-140.056
1970-01-01 00:00:00.000000444,79.788
1970-01-01 00:00:00.000000445,-171.898
1970-01-01 00:00:00.000000446,-26.352
1970-01-01 00:00:00.000000447,-41.358
1970-01-01 00:00:00.000000448,63.928
1970-01-01 00:00:00.000000449,565.836
1970-01-01 00:00:00.000000450,66.612
1970-01-01 00:00:00.000000451,327.204
1970-01-01 00:00:00.000000452,5.49
1970-01-01 00:00:00.000000453,-161.284
1970-01-01 00:00:00.000000454,63.44
1970-01-01 00:00:00.000000455,113.582
1970-01-01 00:00:00.000000456,-269.62
1970-01-01 00:00:00.000000457,-428.342
1970-01-01 00:00:00.000000458,-137.494
1970-01-01 00:00:00.000000459,-116.144
1970-01-01 00:00:00.000000460,-206.668
1970-01-01 00:00:00.000000461,511.912
1970-01-01 00:00:00.000000462,512.4
1970-01-01 00:00:00.000000463,466.772
1970-01-01 00:00:00.000000464,417.728
1970-01-01 00:00:00.000000465,-437.37
1970-01-01 00:00:00.000000466,221.308
1970-01-01 00:00:00.000000467,-122.61
1970-01-01 00:00:00.000000468,92.842
1970-01-01 00:00:00.000000469,-300.242
1970-01-01 00:00:00.000000470,-229.238
1970-01-01 00:00:00.000000471,-197.152
1970-01-01 00:00:00.000000472,290.97
1970-01-01 00:00:00.000000473,95.77
1970-01-01 00:00:00.000000474,-113.094
1970-01-01 00:00:00.000000475,228.384
1970-01-01 00:00:00.000000476,-20.13
1970-01-01 00:00:00.000000477,287.554
1970-01-01 00:00:00.000000478,26.84
1970-01-01 00:00:00.000000479,-294.752
1970-01-01 00:00:00.000000480,-290.116
1970-01-01 00:00:00.000000481,-276.086
1970-01-01 00:00:00.000000482,183.854
1970-01-01 00:00:00.000000483,-327.448
1970-01-01 00:00:00.000000484,-84.668
1970-01-01 00:00:00.000000485,-168.604
1970-01-01 00:00:00.000000486,-27.206
1970-01-01 00:00:00.000000487,294.874
1970-01-01 00:00:00.000000488,5.978
1970-01-01 00:00:00.000000489,124.44
1970-01-01 00:00:00.000000490,-155.794
1970-01-01 00:00:00.000000491,-352.824
1970-01-01 00:00:00.000000492,-484.218
1970-01-01 00:00:00.000000493,-31.964
1970-01-01 00:00:00.000000494,-330.254
1970-01-01 00:00:00.000000495,-25.01
1970-01-01 00:00:00.000000496,-38.918
1970-01-01 00:00:00.000000497,547.902
1970-01-01 00:00:00.000000498,202.276
1970-01-01 00:00:00.000000499,358.436
1970-01-01 00:00:00.000000500,362.096
1970-01-01 00:00:00.000000501,488.0
1970-01-01 00:00:00.000000502,239.12
1970-01-01 00:00:00.000000503,-336.964
1970-01-01 00:00:00.000000504,-355.386
1970-01-01 00:00:00.000000505,-119.682
1970-01-01 00:00:00.000000506,-185.928
1970-01-01 00:00:00.000000507,-343.43
1970-01-01 00:00:00.000000508,3.172
1970-01-01 00:00:00.000000509,-85.888
1970-01-01 00:00:00.000000510,288.896
1970-01-01 00:00:00.000000511,-174.338
1970-01-01 00:00:00.000000512,419.802
1970-01-01 00:00:00.000000513,224.48
1970-01-01 00:00:00.000000514,-169.946
1970-01-01 00:00:00.000000515,208.864
1970-01-01 00:00:00.000000516,167.384
1970-01-01 00:00:00.000000517,-189.344
1970-01-01 00:00:00.000000518,-428.708
1970-01-01 00:00:00.000000519,-524.6
1970-01-01 00:00:00.000000520,-439.688
1970-01-01 00:00:00.000000521,-451.522
1970-01-01 00:00:00.000000522,-63.196
1970-01-01 00:00:00.000000523,-528.26
1970-01-01 00:00:00.000000524,106.384
1970-01-01 00:00:00.000000525,386.74
1970-01-01 00:00:00.000000526,-9.15
1970-01-01 00:00:00.000000527,140.056
1970-01-01 00:00:00.000000528,211.426
1970-01-01 00:00:00.000000529,13.908
1970-01-01 00:00:00.000000530,-217.77
1970-01-01 00:00:00.000000531,-110.654
1970-01-01 00:00:00.000000532,231.678
1970-01-01 00:00:00.000000533,14.152
1970-01-01 00:00:00.000000534,-172.63
1970-01-01 00:00:00.000000535,179.096
1970-01-01 00:00:00.000000536,678.564
1970-01-01 00:00:00.000000537,255.712
1970-01-01 00:00:00.000000538,-247.294
1970-01-01 00:00:00.000000539,-97.844
1970-01-01 00:00:00.000000540,-52.582
1970-01-01 00:00:00.000000541,-623.298
1970-01-01 00:00:00.000000542,-269.254
1970-01-01 00:00:00.000000543,228.384
1970-01-01 00:00:00.000000544,-40.992
1970-01-01 00:00:00.000000545,-63.074
1970-01-01 00:00:00.000000546,-281.576
1970-01-01 00:00:00.000000547,-1.464
1970-01-01 00:00:00.000000548,237.412
1970-01-01 00:00:00.000000549,116.876
1970-01-01 00:00:00.000000550,-27.816
1970-01-01 00:00:00.000000551,468.724
1970-01-01 00:00:00.000000552,246.562
1970-01-01 00:00:00.000000553,-169.946
1970-01-01 00:00:00.000000554,104.066
1970-01-01 00:00:00.000000555,-234.484
1970-01-01 00:00:00.000000556,51.972
1970-01-01 00:00:00.000000557,-307.684
1970-01-01 00:00:00.000000558,-333.914
1970-01-01 00:00:00.000000559,-41.968
1970-01-01 00:00:00.000000560,-160.308
1970-01-01 00:00:00.000000561,-88.328
1970-01-01 00:00:00.000000562,-39.406
1970-01-01 00:00:00.000000563,204.716
1970-01-01 00:00:00.000000564,-297.436
1970-01-01 00:00:00.000000565,-149.938
1970-01-01 00:00:00.000000566,265.716
1970-01-01 00:00:00.000000567,148.474
1970-01-01 00:00:00.000000568,6.466
1970-01-01 00:00:00.000000569,-62.098
1970-01-01 00:00:00.000000570,168.238
1970-01-01 00:00:00.000000571,137.616
1970-01-01 00:00:00.000000572,-73.81
1970-01-01 00:00:00.000000573,-491.05
1970-01-01 00:00:00.000000574,-244.61
1970-01-01 00:00:00.000000575,196.786
1970-01-01 00:00:00.000000576,-272.304
1970-01-01 00:00:00.000000577,187.758
1970-01-01 00:00:00.000000578,59.536
1970-01-01 00:00:00.000000579,112.484
1970-01-01 00:00:00.000000580,207.644
1970-01-01 00:00:00.000000581,-18.666
1970-01-01 00:00:00.000000582,62.464
1970-01-01 00:00:00.000000583,-146.4
1970-01-01 00:00:00.000000584,-128.466
1970-01-01 00:00:00.000000585,-144.326
1970-01-01 00:00:00.000000586,-335.744
1970-01-01 00:00:00.000000587,234.362
1970-01-01 00:00:00.000000588,108.824
1970-01-01 00:00:00.000000589,352.092
1970-01-01 00:00:00.000000590,460.55
1970-01-01 00:00:00.000000591,147.864
1970-01-01 00:00:00.000000592,209.108
1970-01-01 00:00:00.000000593,-274.622
1970-01-01 00:00:00.000000594,-162.138
1970-01-01 00:00:00.000000595,-146.522
1970-01-01 00:00:00.000000596,-149.084
1970-01-01 00:00:00.000000597,-288.53
1970-01-01 00:00:00.000000598,-193.492
1970-01-01 00:00:00.000000599,-216.55
1970-01-01 00:00:00.000000600,-162.748
1970-01-01 00:00:00.000000601,315.858
1970-01-01 00:00:00.000000602,313.174
1970-01-01 00:00:00.000000603,-48.678
