time_captured,02_on_raw_accY
1970-01-01 00:00:00.000000377,-46.97
1970-01-01 00:00:00.000000378,38.796
1970-01-01 00:00:00.000000379,29.036
1970-01-01 00:00:00.000000380,515.694
1970-01-01 00:00:00.000000381,182.024
1970-01-01 00:00:00.000000382,205.204
1970-01-01 00:00:00.000000383,21.472
1970-01-01 00:00:00.000000384,-93.086
1970-01-01 00:00:00.000000385,279.868
1970-01-01 00:00:00.000000386,7.076
1970-01-01 00:00:00.000000387,323.544
1970-01-01 00:00:00.000000388,-76.006
1970-01-01 00:00:00.000000389,580.232
1970-01-01 00:00:00.000000390,-182.512
1970-01-01 00:00:00.000000391,178.12
1970-01-01 00:00:00.000000392,8.418
1970-01-01 00:00:00.000000393,-434.076
1970-01-01 00:00:00.000000394,-341.478
1970-01-01 00:00:00.000000395,-395.28
1970-01-01 00:00:00.000000396,-109.19
1970-01-01 00:00:00.000000397,-358.68
1970-01-01 00:00:00.000000398,203.374
1970-01-01 00:00:00.000000399,-144.204
1970-01-01 00:00:00.000000400,115.534
1970-01-01 00:00:00.000000401,-200.69
1970-01-01 00:00:00.000000402,-259.616
1970-01-01 00:00:00.000000403,-570.472
1970-01-01 00:00:00.000000404,-753.106
1970-01-01 00:00:00.000000405,591.7
1970-01-01 00:00:00.000000406,179.34
1970-01-01 00:00:00.000000407,-164.456
1970-01-01 00:00:00.000000408,-68.564
1970-01-01 00:00:00.000000409,239.486
1970-01-01 00:00:00.000000410,-17.202
1970-01-01 00:00:00.000000411,44.164
1970-01-01 00:00:00.000000412,-151.402
1970-01-01 00:00:00.000000413,-59.78
1970-01-01 00:00:00.000000414,65.88
1970-01-01 00:00:00.000000415,-117.73
1970-01-01 00:00:00.000000416,156.648
1970-01-01 00:00:00.000000417,-74.908
1970-01-01 00:00:00.000000418,39.894
1970-01-01 00:00:00.000000419,40.992
1970-01-01 00:00:00.000000420,82.106
1970-01-01 00:00:00.000000421,94.306
1970-01-01 00:00:00.000000422,-298.168
1970-01-01 00:00:00.000000423,-10.004
1970-01-01 00:00:00.000000424,-109.8
1970-01-01 00:00:00.000000425,94.184
1970-01-01 00:00:00.000000426,-247.538
1970-01-01 00:00:00.000000427,90.646
1970-01-01 00:00:00.000000428,7.198
1970-01-01 00:00:00.000000429,9.882
1970-01-01 00:00:00.000000430,239.364
1970-01-01 00:00:00.000000431,261.568
1970-01-01 00:00:00.000000432,-133.834
1970-01-01 00:00:00.000000433,70.638
1970-01-01 00:00:00.000000434,445.91
1970-01-01 00:00:00.000000435,-22.082
1970-01-01 00:00:00.000000436,-176.534
1970-01-01 00:00:00.000000437,-330.376
1970-01-01 00:00:00.000000438,-21.35
1970-01-01 00:00:00.000000439,-272.182
1970-01-01 00:00:00.000000440,19.764
1970-01-01 00:00:00.000000441,89.548
1970-01-01 00:00:00.000000442,129.808
1970-01-01 00:00:00.000000443,383.324
1970-01-01 00:00:00.000000444,299.632
1970-01-01 00:00:00.000000445,-37.576
1970-01-01 00:00:00.000000446,-320.982
1970-01-01 00:00:00.000000447,80.032
1970-01-01 00:00:00.000000448,-324.032
1970-01-01 00:00:00.000000449,120.048
1970-01-01 00:00:00.000000450,458.598
1970-01-01 00:00:00.000000451,28.67
1970-01-01 00:00:00.000000452,87.84
1970-01-01 00:00:00.000000453,159.454
1970-01-01 00:00:00.000000454,81.618
1970-01-01 00:00:00.000000455,-168.238
1970-01-01 00:00:00.000000456,-143.35
1970-01-01 00:00:00.000000457,-569.13
1970-01-01 00:00:00.000000458,143.472
1970-01-01 00:00:00.000000459,353.434
1970-01-01 00:00:00.000000460,-102.724
1970-01-01 00:00:00.000000461,-76.616
1970-01-01 00:00:00.000000462,3.294
1970-01-01 00:00:00.000000463,103.822
1970-01-01 00:00:00.000000464,103.822
1970-01-01 00:00:00.000000465,-350.506
1970-01-01 00:00:00.000000466,-505.446
1970-01-01 00:00:00.000000467,112.85
1970-01-01 00:00:00.000000468,275.598
1970-01-01 00:00:00.000000469,-147.498
1970-01-01 00:00:00.000000470,173.728
1970-01-01 00:00:00.000000471,142.13
1970-01-01 00:00:00.000000472,290.482
1970-01-01 00:00:00.000000473,376.248
1970-01-01 00:00:00.000000474,167.14
1970-01-01 00:00:00.000000475,-315.614
1970-01-01 00:00:00.000000476,-44.042
1970-01-01 00:00:00.000000477,-267.424
1970-01-01 00:00:00.000000478,25.62
1970-01-01 00:00:00.000000479,24.034
1970-01-01 00:00:00.000000480,-51.728
1970-01-01 00:00:00.000000481,83.448
1970-01-01 00:00:00.000000482,54.534
1970-01-01 00:00:00.000000483,-205.204
1970-01-01 00:00:00.000000484,-197.762
1970-01-01 00:00:00.000000485,146.034
1970-01-01 00:00:00.000000486,-409.188
1970-01-01 00:00:00.000000487,536.556
1970-01-01 00:00:00.000000488,4.758
1970-01-01 00:00:00.000000489,-208.986
1970-01-01 00:00:00.000000490,-292.8
1970-01-01 00:00:00.000000491,-292.8
1970-01-01 00:00:00.000000492,-246.928
1970-01-01 00:00:00.000000493,-104.92
1970-01-01 00:00:00.000000494,115.29
1970-01-01 00:00:00.000000495,-201.788
1970-01-01 00:00:00.000000496,592.188
1970-01-01 00:00:00.000000497,203.496
1970-01-01 00:00:00.000000498,53.436
1970-01-01 00:00:00.000000499,-153.232
1970-01-01 00:00:00.000000500,-153.232
1970-01-01 00:00:00.000000501,-298.29
1970-01-01 00:00:00.000000502,347.578
1970-01-01 00:00:00.000000503,290.116
1970-01-01 00:00:00.000000504,200.202
1970-01-01 00:00:00.000000505,316.834
1970-01-01 00:00:00.000000506,-108.214
1970-01-01 00:00:00.000000507,35.99
1970-01-01 00:00:00.000000508,-50.752
1970-01-01 00:00:00.000000509,-50.752
1970-01-01 00:00:00.000000510,-23.424
1970-01-01 00:00:00.000000511,414.312
1970-01-01 00:00:00.000000512,323.178
1970-01-01 00:00:00.000000513,229.238
1970-01-01 00:00:00.000000514,477.142
1970-01-01 00:00:00.000000515,-164.212
1970-01-01 00:00:00.000000516,4.392
1970-01-01 00:00:00.000000517,-632.692
1970-01-01 00:00:00.000000518,-632.692
1970-01-01 00:00:00.000000519,-682.346
1970-01-01 00:00:00.000000520,89.304
1970-01-01 00:00:00.000000521,239.73
1970-01-01 00:00:00.000000522,-12.566
1970-01-01 00:00:00.000000523,-258.884
1970-01-01 00:00:00.000000524,-227.042
1970-01-01 00:00:00.000000525,87.962
1970-01-01 00:00:00.000000526,12.932
1970-01-01 00:00:00.000000527,-381.25
1970-01-01 00:00:00.000000528,-230.458
1970-01-01 00:00:00.000000529,136.03
